2023-08-01 13:17:40,819 | task_logger | Process_task_csv_to_mysql |        execute_engine         | INFO  | entered into execute_engine
2023-08-01 13:17:40,819 | task_logger | Process_task_csv_to_mysql |        execute_engine         | INFO  | calling the task_json_download function
2023-08-01 13:17:44,739 | task_logger | Process_task_csv_to_mysql |        download_task_files    | INFO  | entered into downloading task related files
2023-08-01 13:17:44,925 | task_logger | Process_task_csv_to_mysql |        execute_engine         | INFO  | #####################################################
2023-08-01 13:17:44,925 | task_logger | Process_task_csv_to_mysql |        execute_engine         | INFO  | calling the engine_main
2023-08-01 13:17:44,926 | task_logger | Process_task_csv_to_mysql |        engine_main            | INFO  | entered into engine_main
2023-08-01 13:17:44,926 | task_logger | Process_task_csv_to_mysql |        task_json_read         | INFO  | reading TASK JSON data started task_csv_to_mysql
2023-08-01 13:17:44,926 | task_logger | Process_task_csv_to_mysql |        task_json_read         | INFO  | reading TASK JSON data completed
2023-08-01 13:17:44,955 | task_logger | Process_task_csv_to_mysql |        audit                  | INFO  | audit status code:200
2023-08-01 13:17:44,956 | task_logger | Process_task_csv_to_mysql |        checks_mapping_read    | INFO  | reading checks mapping json data started
2023-08-01 13:17:44,956 | task_logger | Process_task_csv_to_mysql |        checks_mapping_read    | INFO  | reading checks mapping data completed
2023-08-01 13:17:46,573 | task_logger | Process_task_csv_to_mysql |        begin_transaction      | INFO  | =================================================================
2023-08-01 13:17:46,573 | task_logger | Process_task_csv_to_mysql |        begin_transaction      | INFO  | Transaction Started
2023-08-01 13:17:46,573 | task_logger | Process_task_csv_to_mysql |        read_write_imports     | INFO  | read imports started
2023-08-01 13:17:46,573 | task_logger | Process_task_csv_to_mysql |        read_write_imports     | INFO  | write imports started
2023-08-01 13:17:46,574 | task_logger | Process_task_csv_to_mysql |        read                   | INFO  | reading csv initiated...
2023-08-01 13:17:46,575 | task_logger | Process_task_csv_to_mysql |        read                   | INFO  | list of files which were read
2023-08-01 13:17:46,575 | task_logger | Process_task_csv_to_mysql |        read                   | INFO  | []
2023-08-01 13:17:46,575 | task_logger | Process_task_csv_to_mysql |        read                   | ERROR | 'sales' SOURCE FILE not found in the location
2023-08-01 13:17:46,597 | task_logger | Process_task_csv_to_mysql |        audit                  | INFO  | audit status code:200
